hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Eg,NA,E,NA,NA,18,23,23,33,41,56,NA,18,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,93,97,100,0,4,7,0,0.3,1,0,0.5,1,0,0.6,1,0,1.3,3,0,1.3,3,71,78,85,NA,NA,NA,NA,NA,NA,15,18,25,0,0,0,0,0.5,1,NA,NA,NA,1.43,1.46,1.48,NA,NA,NA,1.51,1.54,1.6,NA,1.41,2.82,4.23,0.18,0.19,0.2,NA,NA,NA,24.6,26.8,30.4,8.8,11.2,15.9,42,42,43,1.3,1.8,3.1,25,29,37,9,12,17,6,10,17,0.55,0.55,0,0,0,0,0,0,0,0,0,0,1,2,11.3,14.8,20.1,NA,NA,NA,8.8,13.3,18.4,5.6,6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,5.3,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,51132059
Btg,NA,B,NA,NA,33,41,56,107,117,150,NA,76,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,97,100,0,4,7,0,0.3,1,0,0.4,1,0,0.6,1,0,1.3,3,0,1.4,3,48,57,66,NA,NA,NA,NA,NA,NA,34,39,45,0,0,0,0,0.25,0.5,NA,NA,NA,1.4,1.42,1.45,NA,NA,NA,1.71,1.73,1.81,NA,0.42,0.92,1.41,0.11,0.17,0.22,NA,NA,NA,32.5,34.3,36.2,19.3,22.5,26.1,43,44,45,4.5,6.8,8.4,43,50,56,24,28,33,23,30,37,0.37,0.37,0,0,0,0,0,0,0,0,0,0,1,2,22.9,28.1,32.5,NA,NA,NA,20.2,25.5,40.5,5.6,5.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,9.1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,51132060
Cg,NA,C,NA,NA,107,117,150,152,152,152,NA,35,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,92,97,100,0,4,7,0,0,1,0,0.1,1,0,0.3,1,0,1.2,3,0,2.4,3,58,65,74,NA,NA,NA,NA,NA,NA,25,31,35,0,0,0,0,0.25,0.5,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,1.59,1.69,1.78,NA,1.41,2.82,4.23,0.2,0.21,0.22,NA,NA,NA,29.7,32.3,33.9,15,18.9,21.6,37,41,45,2.8,4.1,5.9,35,41,46,17,22,25,15,22,27,0.49,0.49,0,0,0,0,0,0,0,0,0,0,1,2,17.6,23.1,26.2,NA,NA,NA,17.3,22.8,34.2,6.1,6.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,5.1,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,51132061
Ap,NA,A,NA,NA,0,0,0,25,36,43,NA,36,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,94,97,100,0,4,7,0,0.1,1,0,0.1,1,0,0.3,1,0,1.2,3,0,2.3,3,67.5,72,80,NA,NA,NA,NA,NA,NA,20,24,27,0,0,0,3,3.5,4,NA,NA,NA,1.25,1.35,1.45,NA,NA,NA,1.38,1.48,1.51,NA,4.23,9.17,14.11,0.22,0.23,0.24,NA,NA,NA,29.4,31.2,32.6,14.5,17.2,19.4,41,45,49,2.5,3.2,3.8,37,42,45,13,16,18,13,17,21,0.32,0.32,0,0,0,0,0,0,0,0,0,0,1,2,17.3,20.5,23,NA,NA,NA,13.1,18.4,26.3,5.1,6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,7,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501928,51132062
Bt,NA,B,NA,NA,25,36,43,91,140,142,NA,104,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,97,100,0,4,7,0,0.2,1,0,0.3,1,0,0.5,1,0,1.3,3,0,1.7,3,58,65,74,NA,NA,NA,NA,NA,NA,24,31,35,0,0,0,0,0.5,1,NA,NA,NA,1.35,1.39,1.43,NA,NA,NA,1.54,1.58,1.62,NA,4.23,9.17,14.11,0.18,0.19,0.2,NA,NA,NA,28.5,31.6,33.3,13.3,17.8,20.7,43,44,46,2.8,4.3,5.2,34,42,47,16,22,25,14,22,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,1,2,16.7,24,27.5,NA,NA,NA,14.2,21,27,5.1,5.6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,7.5,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501928,51132063
C,NA,C,NA,NA,91,140,142,152,152,152,NA,12,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,92,98,100,0,4,7,0,0,1,0,0,1,0,0.1,1,0,1.1,3,0,2.8,3,63.5,72,80,NA,NA,NA,NA,NA,NA,20,24,30,0,0,0,0,0.25,0.5,NA,NA,NA,1.35,1.38,1.41,NA,NA,NA,1.48,1.51,1.56,NA,4.23,9.17,14.11,0.18,0.19,0.2,NA,NA,NA,26.7,28.7,31.2,11,13.6,17.2,44,45,46,2.1,3,4.1,30,34,41,13,16,21,10,15,22,0.49,0.49,0,0,15,0,0,0,0,0,0,0,1,2,14.2,18.5,23.3,NA,NA,NA,11.7,17.9,62.3,5.6,6.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501928,51132064
Btg2,NA,B,NA,2,71,97,100,102,119,150,NA,22,NA,0,0,0,0,0,0,100,100,100,100,100,100,98,100,100,96,98,100,1,2.5,7,0,0.1,1,0.1,0.2,2,0.1,0.2,2,0.1,0.3,2,0.5,1.7,5,66.4,70.9,75,NA,NA,NA,NA,NA,NA,24,26.6,27,0,0,0,0.1,0.3,0.5,NA,NA,NA,1.43,1.46,1.48,NA,NA,NA,1.59,1.62,1.62,NA,4.23,9.17,14.11,0.13,0.15,0.23,NA,NA,NA,29.1,30.4,30.7,14.1,15.9,16.4,42,42,44,2.9,3.5,3.6,34,37,38,16,18,19,15,18,20,0.49,0.49,0,0,5,0,0,0,0,0,0,0,1,2,17.9,20.5,21.2,NA,NA,NA,17.1,22,60.2,6.6,7.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.5,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501929,51132065
Ap,NA,A,NA,NA,0,0,0,31,58,61,NA,58,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,95,99,100,1,1.7,7,0,0.1,1,0.1,0.2,2,0.1,0.2,2,0.1,0.2,2,0.5,1,5,59.3,66.3,72,NA,NA,NA,NA,NA,NA,27,32,35,0,0,0,4.5,4.5,6,NA,NA,NA,1.25,1.3,1.34,NA,NA,NA,1.45,1.5,1.53,NA,4.23,9.17,14.11,0.17,0.19,0.22,NA,NA,NA,32.5,33.9,35.6,19.3,21.7,24.9,44,46,48,3.8,4.8,5.5,46,51,57,18,22,24,20,26,30,0.24,0.24,0,0,0,0,0,0,0,0,0,0,1,2,23.1,26.9,29.5,NA,NA,NA,19.7,24.2,29.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,8.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501929,51132066
Btg1,NA,B,NA,1,31,58,61,71,97,100,NA,39,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,99,100,94,98,100,1,3,7,0,0.3,1,0.1,0.3,2,0.1,0.3,2,0.1,0.4,2,0.5,1.7,5,59,66,72,NA,NA,NA,NA,NA,NA,27,31,35,0,0,0,0.5,0.68,1.5,NA,NA,NA,1.41,1.42,1.43,NA,NA,NA,1.61,1.62,1.66,NA,4.23,9.17,14.11,0.13,0.14,0.21,NA,NA,NA,30.4,32,33.9,16,18.5,21.7,43,44,44,3.6,4.4,5.3,38,42,48,19,22,25,18,23,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,1,2,21.2,24.3,27.9,NA,NA,NA,20.1,23.9,26.5,6.1,7.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.2,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501929,51132067
Cg,NA,C,NA,NA,102,119,150,152,152,152,NA,33,NA,0,0,0,0,0,0,100,100,100,100,100,100,98,100,100,96,99,100,1,1.3,7,0,0,1,0.1,0.1,2,0.1,0.2,2,0.1,0.2,2,0.5,0.8,5,69.3,75.8,79,NA,NA,NA,NA,NA,NA,20,22.9,27,0,0,0,0,0.1,0.5,NA,NA,NA,1.38,1.38,1.41,NA,NA,NA,1.49,1.49,1.53,NA,4.23,9.17,14.11,0.19,0.21,0.26,NA,NA,NA,26.7,28.1,30.1,11,12.8,15.5,44,45,45,2.1,2.7,3.6,30,33,38,13,16,19,11,15,20,0.49,0.49,0,10,20,0,0,0,0,0,0,0,1,2,14.2,17.1,21.2,NA,NA,NA,14.1,18.6,60.2,6.6,7.8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501929,51132068
Btg2,NA,B,NA,2,71,97,100,102,119,150,NA,22,NA,0,0,0,0,0,0,100,100,100,100,100,100,98,100,100,96,98,100,1,2.5,7,0,0.1,1,0.1,0.2,2,0.1,0.2,2,0.1,0.3,2,0.5,1.7,5,66.4,70.9,75,NA,NA,NA,NA,NA,NA,24,26.6,27,0,0,0,0.1,0.3,0.5,NA,NA,NA,1.43,1.46,1.48,NA,NA,NA,1.59,1.62,1.62,NA,4.23,9.17,14.11,0.13,0.15,0.23,NA,NA,NA,29.1,30.4,30.7,14.1,15.9,16.4,42,42,44,2.9,3.5,3.6,34,37,38,16,18,19,15,18,20,0.49,0.49,0,0,5,0,0,0,0,0,0,0,1,2,17.9,20.5,21.2,NA,NA,NA,17.1,22,60.2,6.6,7.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.5,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17502050,51132427
Ap,NA,A,NA,NA,0,0,0,31,58,61,NA,58,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,95,99,100,1,1.7,7,0,0.1,1,0.1,0.2,2,0.1,0.2,2,0.1,0.2,2,0.5,1,5,59.3,66.3,72,NA,NA,NA,NA,NA,NA,27,32,35,0,0,0,4.5,4.5,6,NA,NA,NA,1.25,1.3,1.34,NA,NA,NA,1.45,1.5,1.53,NA,4.23,9.17,14.11,0.17,0.19,0.22,NA,NA,NA,32.5,33.9,35.6,19.3,21.7,24.9,44,46,48,3.8,4.8,5.5,46,51,57,18,22,24,20,26,30,0.24,0.24,0,0,0,0,0,0,0,0,0,0,1,2,23.1,26.9,29.5,NA,NA,NA,19.7,24.2,29.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,8.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17502050,51132428
Btg1,NA,B,NA,1,31,58,61,71,97,100,NA,39,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,99,100,94,98,100,1,3,7,0,0.3,1,0.1,0.3,2,0.1,0.3,2,0.1,0.4,2,0.5,1.7,5,59,66,72,NA,NA,NA,NA,NA,NA,27,31,35,0,0,0,0.5,0.68,1.5,NA,NA,NA,1.41,1.42,1.43,NA,NA,NA,1.61,1.62,1.66,NA,4.23,9.17,14.11,0.13,0.14,0.21,NA,NA,NA,30.4,32,33.9,16,18.5,21.7,43,44,44,3.6,4.4,5.3,38,42,48,19,22,25,18,23,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,1,2,21.2,24.3,27.9,NA,NA,NA,20.1,23.9,26.5,6.1,7.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.2,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17502050,51132429
