comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
0,2,5,Peotone,Series,No ,,drained,0,0.5,2,NA,46,NA,Negligible,5,86,4,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Very poorly drained,177,232,311,0,200,360,depressions on till plains on uplands,NA,0.16,NA,8,10,12,864,940,1067,NA,NA,NA,155,170,190,3,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine, smectitic, mesic Cumulic Vertic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Vertic Endoaquolls,fine,not used,not used,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183894,17483836
88,94,100,Elpaso,Series,Yes,,drained,0,0.5,2,NA,76,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,177,234,311,0,200,360,"ground moraines on uplands, till plains on uplands",NA,0.16,NA,8,10,12,864,940,1067,NA,NA,NA,155,170,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183894,17483837
0,4,7,Harpster,Series,No ,,drained,0,0.5,2,NA,46,NA,Negligible,5,86,4L,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,177,233,311,0,200,360,depressions on till plains on uplands,NA,0.16,NA,8,10,12,864,940,1067,NA,NA,NA,155,170,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Calciaquolls",Mollisols,Aquolls,Calciaquolls,Typic Calciaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183894,17483838
1,4,10,Elpaso,Series,No ,,drained,0,0.5,2,NA,76,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,174,222,303,0,200,360,"ground moraines on uplands, till plains on uplands",NA,0.23,NA,8,11,12,876,991,1067,NA,NA,NA,160,170,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183889,17483853
90,95,99,Flanagan,Series,Yes,,,0,0.9,2,NA,91,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,174,223,303,0,200,360,"ground moraines on uplands, till plains on uplands",NA,0.23,NA,8,11,12,876,991,1067,NA,NA,NA,160,170,190,1,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C/D,Moderate,High,"Fine, smectitic, mesic Aquic Argiudolls",Mollisols,Udolls,Argiudolls,Aquic Argiudolls,fine,not used,not used,not used,mesic,Aquic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183889,17483854
0,1,2,Urban land,Miscellaneous area,No ,,,0,1,2,NA,90,NA,Very high,NA,NA,,None - deposition,Artificial cover,Urban and built-up,,No,,174,223,303,0,170,360,urban land,NA,NA,NA,8,11,12,876,991,1067,NA,NA,NA,160,170,190,8,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183889,17483855
