monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,183477839
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483853,183477840
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,183477841
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,183477842
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,183477843
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483853,183477844
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483853,183477845
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,183477846
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483853,183477847
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,183477848
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483853,183477849
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,183477850
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477851
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477852
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477853
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477854
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477855
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477856
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477857
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477858
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477859
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477860
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477861
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,183477862
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483836,183477635
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477636
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477637
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483836,183477638
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483836,183477639
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477640
6,June,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483836,183477641
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483836,183477642
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483836,183477643
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477644
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477645
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477646
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477647
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477648
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477649
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477650
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477651
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,183477652
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,183477653
